attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,fluency,label,difficulty,consistency
alzantot,rtmr,237,0,1,0.921050021,0.970480203,0.9670015,0.9301651,0.881668839,0.9837627,0.801288436,0.9694184,0.247311962,0.465645032,0.842548077,0.832932692,0.832532051,0.712803224,0.220458881,,"if i could have looked into my future and saw how bad this movie was , i would go back and choose to skip it . [[joyfully]] , you still have that option .","if i could have looked into my future and saw how bad this movie was , i would go back and choose to skip it . [[fortunately]] , you still have that option .",3.3333333333333335,0.0,4.333333333333333,4.333333333333333
pso,rtmr,99,1,0,0.923473262,0.970480203,0.98202175,0.98586357,0.424822258,0.98039424,0.90617518,0.97229564,0.235390276,0.463741987,0.84385016,0.830528846,0.826522436,0.863723004,0.219595164,,"arliss howard's ambitious , moving , and adventurous directorial debut , big bad love , [[suffers]] so many of the challenges it poses for itself that one can forgive the film its flaws .","arliss howard's ambitious , moving , and adventurous directorial debut , big bad love , [[meets]] so many of the challenges it poses for itself that one can forgive the film its flaws .",2.3333333333333335,1.0,2.0,2.6666666666666665
pso,rtmr,336,0,1,0.915710375,0.964089751,0.9839631,0.98222876,0.500527105,0.95283735,1.306384322,0.9409036,0.343792003,0.461237981,0.843048878,0.836538462,0.841746795,0.835734719,0.257258291,,"tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely [[defends]] everything kieslowski's work aspired to , including the condition of art .","tykwer's surface flash isn't just a poor fit with kieslowski's lyrical pessimism ; it completely [[contradicts]] everything kieslowski's work aspired to , including the condition of art .",3.6666666666666665,0.0,2.3333333333333335,1.3333333333333333
alzantot,rtmr,63,1,0,0.69775676,0.999314129,0.89519036,0.916535,1.021426937,0.78281426,3.449651874,0.8064361,0.622195948,0.456229968,0.842548077,0.788461538,0.783253205,0.721678922,0.226264064,,"standing in the shadows of motown is the [[better]] kind of [[documents]] , one that makes a [[deplete]] yesterday feel very much like a brand-new tomorrow .","standing in the shadows of motown is the [[best]] kind of [[documentary]] , one that makes a [[depleted]] yesterday feel very much like a brand-new tomorrow .",2.6666666666666665,1.0,3.0,1.6666666666666667
pso,rtmr,7,1,0,0.948543837,0.952321429,0.9358015,0.880668,1.113922056,0.9173105,2.020832529,0.8868749,0.475657826,0.463341346,0.843950321,0.727163462,0.724759615,0.682989708,0.193919502,,[[smouldering]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,[[entertaining]] despite its one-joke premise with the thesis that women from venus and men from mars can indeed get together .,4.0,0.0,3.3333333333333335,1.3333333333333333
bae,rtmr,4,1,0,0.660632864,0.861341223,0.90758777,0.9059891,1.038777791,0.58120376,5.33854835,0.7220047,0.745647803,0.460036058,0.844651442,0.854967949,0.849759615,0.65044156,0.243463652,,"a huge box-office hit in [[tokyo]] , [[death]] is a must for genre fans .","a huge box-office hit in [[korea]] , [[shiri]] is a must for genre fans .",3.0,1.0,5.0,3.0
bae,rtmr,340,1,0,0.592303307,0.837571519,0.76512915,0.7310817,1.596359803,0.5792733,5.070454975,0.507008,0.992967364,0.458533654,0.833433494,0.731169872,0.740384615,0.446382284,0.155030678,,a [[lack]] of technical skill and rare depth of [[perception]] and feeling .,a [[movie]] of technical skill and rare depth of [[intellect]] and feeling .,3.3333333333333335,0.0,4.0,1.0
pso,rtmr,379,1,0,0.724244799,0.951904762,0.9344709,0.93477696,0.804093287,0.93927413,1.801388409,0.86875343,0.512340871,0.454627404,0.845152244,0.806891026,0.790865385,0.792479652,0.130809648,,"lan yu is a [[actual]] love story , full of traditional [[faults]] of awakening and ripening and separation and recovery .","lan yu is a [[genuine]] love story , full of traditional [[layers]] of awakening and ripening and separation and recovery .",2.6666666666666665,1.0,4.0,4.0
alzantot,rtmr,225,0,1,0.599782016,0.870695153,0.9013922,0.900641,1.097333358,0.88806224,2.362871345,0.96884483,0.249620126,0.469150641,0.844551282,0.826923077,0.827724359,0.909550709,0.200649453,,"a depressingly [[astern]] , 'post-feminist' romantic comedy that takes an astonishingly [[patronizing]] [[stance]] toward women .","a depressingly [[retrograde]] , 'post-feminist' romantic comedy that takes an astonishingly [[condescending]] [[attitude]] toward women .",4.333333333333333,0.0,3.3333333333333335,3.6666666666666665
alzantot,rtmr,116,1,0,0.787578474,0.922809829,0.94757485,0.9685746,0.662282945,0.9433407,1.470107415,0.95988333,0.283255105,0.463541667,0.842147436,0.914663462,0.901442308,0.878527135,0.255322122,,"the film has a laundry list of minor shortcomings , but the [[assorted]] scenes of gory mayhem are worth the price of [[admittance]] . . . if "" gory mayhem "" is your idea of a [[decent]] [[period]] .","the film has a laundry list of minor shortcomings , but the [[numerous]] scenes of gory mayhem are worth the price of [[admission]] . . . if "" gory mayhem "" is your idea of a [[good]] [[time]] .",4.0,1.0,4.333333333333333,4.666666666666667
bae,rtmr,50,1,0,0.828247753,0.936388889,0.8995101,0.92471343,0.85718629,0.86962485,2.50113287,0.8286844,0.585346986,0.470252404,0.841746795,0.840544872,0.837740385,0.642313731,0.205014716,,i'm going to give it a marginal [[write]] up . i liked it just enough .,i'm going to give it a marginal [[thumbs]] up . i liked it just enough .,2.6666666666666665,1.0,4.0,3.0
bae,rtmr,127,0,1,0.833335484,0.925269442,0.938472,0.9531875,0.775390191,0.91189945,2.041645699,0.8730931,0.503799361,0.460336538,0.842648237,0.858173077,0.864983974,0.796634144,0.175769769,,"the first [[element]] , i suspect , is casting shatner as a legendary professor and [[i]] as a brilliant college student--where's pauly shore as the rocket scientist ?","the first [[mistake]] , i suspect , is casting shatner as a legendary professor and [[kunis]] as a brilliant college student--where's pauly shore as the rocket scientist ?",3.0,1.0,3.0,2.6666666666666665
alzantot,rtmr,289,1,0,0.849232664,0.946718648,0.94816816,0.98507637,0.421853147,0.9635204,1.357484611,0.95650756,0.294932187,0.452223558,0.844451122,0.882612179,0.877804487,0.950664073,0.229522282,,a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character [[underwent]] midlife crisis .,a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character [[undergoing]] midlife crisis .,1.6666666666666667,1.0,3.6666666666666665,3.0
pso,rtmr,82,1,0,0.854347486,0.945648097,0.95053107,0.960536,0.801780782,0.9774529,0.949900152,0.9452851,0.33080201,0.458633814,0.844150641,0.818509615,0.812099359,0.876263165,0.218828114,,"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that [[overwhelms]] up to a strangely [[heartless]] happy ending .","a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that [[leads]] up to a strangely [[sinister]] happy ending .",3.6666666666666665,1.0,2.3333333333333335,2.3333333333333335
bae,rtmr,202,0,1,0.919322715,0.966508125,0.95422405,0.9482536,0.753695725,0.92386854,2.067318373,0.89924073,0.448908116,0.46083734,0.844150641,0.834935897,0.833333333,0.802133429,0.18658503,,"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great [[directorial]] opportunity .","while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great [[missed]] opportunity .",4.0,1.0,3.0,3.0
alzantot,rtmr,107,1,0,0.545246912,0.803030303,0.901268,0.8461688,1.112792432,0.95061266,1.583244466,0.9376057,0.353254737,0.461638622,0.843950321,0.801682692,0.813301282,0.928874385,0.179712242,,"twohy's a [[decent]] yarn-spinner , and ultimately the story [[requires]] .","twohy's a [[good]] yarn-spinner , and ultimately the story [[compels]] .",1.6666666666666667,0.0,3.0,2.3333333333333335
pso,rtmr,263,1,0,0.778414311,0.915504477,0.9228301,0.8315459,1.283636269,0.88354737,2.384285144,0.8046492,0.625061429,0.464242788,0.845953526,0.772836538,0.773237179,0.73256762,0.189051767,,this is one of those [[poor]] docs that [[whitewash]] a grand picture of an era and makes the journey feel like a party .,this is one of those [[rare]] docs that [[paints]] a grand picture of an era and makes the journey feel like a party .,4.333333333333333,0.0,4.333333333333333,1.3333333333333333
alzantot,rtmr,386,0,1,0.953446036,0.980739656,0.9756369,0.99590945,0.265929596,0.9966367,0.309643997,0.96527845,0.263520478,0.46494391,0.844350962,0.852564103,0.845352564,0.889198005,0.258364049,,"this is a children's film in the truest sense . it's packed with adventure and a worthwhile environmental message , so it's great for the kids . parents , on the other hand , will be ahead of the plot at all times , and there isn't [[rather]] clever innuendo to fil","this is a children's film in the truest sense . it's packed with adventure and a worthwhile environmental message , so it's great for the kids . parents , on the other hand , will be ahead of the plot at all times , and there isn't [[enough]] clever innuendo to fil",4.0,1.0,2.6666666666666665,3.0
pso,rtmr,6,0,1,0.912759211,0.964089751,0.96966267,0.9741163,0.54993763,0.9899751,0.686814936,0.9808372,0.195769323,0.460737179,0.841746795,0.921474359,0.927483974,0.905130857,0.267742866,,"if you're [[before]] renting this you're not interested in discretion in your entertainment choices , you're interested in anne geddes , john grisham , and thomas kincaid .","if you're [[really]] renting this you're not interested in discretion in your entertainment choices , you're interested in anne geddes , john grisham , and thomas kincaid .",1.3333333333333333,0.0,3.6666666666666665,2.0
bae,rtmr,260,1,0,0.912167909,0.922809829,0.9431787,0.90779847,0.946318423,0.95309573,1.851322609,0.93490696,0.360812969,0.459735577,0.841245994,0.802083333,0.812099359,0.75618372,0.134843357,,[[simple]] if familiar story of a young person suspended between two cultures .,[[poignant]] if familiar story of a young person suspended between two cultures .,3.0,1.0,5.0,2.6666666666666665
pso,rtmr,49,1,0,0.909593063,0.966508125,0.9786083,0.9253394,0.884770794,0.92403615,1.604750624,0.86437476,0.520817264,0.463641827,0.844551282,0.784855769,0.782852564,0.581827205,0.22330484,,"it uses some of the figures from the real-life story to portray themselves in the film . the result is a [[terrible]] , naturally dramatic piece of low-budget filmmaking .","it uses some of the figures from the real-life story to portray themselves in the film . the result is a [[powerful]] , naturally dramatic piece of low-budget filmmaking .",3.6666666666666665,0.0,4.333333333333333,1.0
bae,rtmr,261,0,1,0.740020626,0.935329861,0.9184291,0.9749142,0.51452477,0.9383509,1.489633915,0.95310503,0.306251673,0.458032853,0.84364984,0.864182692,0.851762821,0.870349783,0.164626068,,"don michael paul uses [[big]] , ( very ) [[powerful]] shadows and wide-angle shots taken from a distance to hide the liberal [[es]] of a body double ( for seagal ) .","don michael paul uses [[quick-cuts]] , ( very ) [[large]] shadows and wide-angle shots taken from a distance to hide the liberal [[use]] of a body double ( for seagal ) .",3.0,0.0,2.3333333333333335,3.0
bae,rtmr,384,0,1,0.292561273,0.556361607,0.61234033,0.6122694,1.910416142,0.381899,6.406145352,0.311787,1.173211801,0.460637019,0.843449519,0.65224359,0.651842949,0.343905944,0.102240161,,"[[today]] , a [[personal]] [[journey]] [[isn]] [[still]] short of both adventure and [[fear]] .","[[dull]] , a [[road-trip]] [[movie]] [[that's]] [[surprisingly]] short of both adventure and [[song]] .",2.0,0.0,3.0,2.3333333333333335
pso,rtmr,348,1,0,0.90251398,0.962743809,0.96768266,0.9607653,0.728370992,0.9798835,1.032092096,0.96541804,0.262990244,0.465444712,0.843549679,0.814102564,0.815304487,0.884098768,0.171960722,,"with "" ichi the killer "" , takashi miike , japan's wildest filmmaker [[alienates]] us a crime fighter carrying more emotional baggage than batman . . .","with "" ichi the killer "" , takashi miike , japan's wildest filmmaker [[gives]] us a crime fighter carrying more emotional baggage than batman . . .",2.3333333333333335,0.0,3.3333333333333335,1.3333333333333333
pso,rtmr,84,1,0,0.774922472,0.959722222,0.91940707,0.91503704,0.950677385,0.9490218,1.441886744,0.8396369,0.566326865,0.45302484,0.842948718,0.840945513,0.835737179,0.712329233,0.165576965,,"first and foremost . . . the reason to [[fail]] see "" blue crush "" is the [[perfect]] , water-born cinematography by david hennings .","first and foremost . . . the reason to [[go]] see "" blue crush "" is the [[phenomenal]] , water-born cinematography by david hennings .",2.0,1.0,2.6666666666666665,1.0
pso,rtmr,67,0,1,0.927174632,0.968619927,0.9884496,0.9718148,0.655910953,0.98260266,0.830064821,0.98721313,0.159917411,0.461738782,0.844651442,0.838141026,0.839342949,0.816604364,0.216249386,,"it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their contrast is neither dramatic nor comic -- it's just a [[wonderful]] fizzle .","it stars schticky chris rock and stolid anthony hopkins , who seem barely in the same movie . their contrast is neither dramatic nor comic -- it's just a [[weird]] fizzle .",3.3333333333333335,1.0,2.3333333333333335,1.6666666666666667
alzantot,rtmr,130,0,1,0.503533789,0.80066568,0.8246474,0.75247264,1.666118888,0.7199756,3.984295704,0.7755601,0.669984942,0.462640224,0.836638622,0.773637821,0.777644231,0.726287317,0.310070051,,"i was [[expecting]] that it would be sleazy and [[droll]] , but it was [[or]] .","i was [[hoping]] that it would be sleazy and [[fun]] , but it was [[neither]] .",1.3333333333333333,0.0,3.3333333333333335,1.3333333333333333
pso,rtmr,21,0,1,0.769160567,0.913911846,0.9424366,0.93972903,0.749658423,0.9814807,1.121536304,0.9847439,0.174677823,0.463741987,0.843449519,0.794871795,0.786858974,0.955619699,0.099031831,,this movie [[gives]] like an extended dialogue exercise in retard 101 .,this movie [[plays]] like an extended dialogue exercise in retard 101 .,1.6666666666666667,0.0,3.6666666666666665,3.6666666666666665
pso,rtmr,329,0,1,0.930489948,0.961292308,0.97926617,0.94344217,0.745634858,0.9833465,0.745878915,0.9863923,0.164970848,0.466045673,0.845352564,0.8125,0.806089744,0.901832616,0.159925274,,"though uniformly well acted , especially by young ballesta and galan ( a first-time actor ) , writer/director achero manas's film is schematic and [[vividly]] .","though uniformly well acted , especially by young ballesta and galan ( a first-time actor ) , writer/director achero manas's film is schematic and [[obvious]] .",3.0,0.0,3.0,3.6666666666666665
pso,rtmr,157,1,0,0.701687939,0.999624343,0.8942267,0.83026385,1.225496552,0.7371784,4.533546489,0.59794676,0.896719845,0.467548077,0.843950321,0.813701923,0.818910256,0.555755684,0.220287222,,"as it turns out , you can [[fail]] home again .","as it turns out , you can [[go]] home again .",1.3333333333333333,0.0,2.3333333333333335,2.0
bae,rtmr,279,0,1,0.80032032,0.926880811,0.89831334,0.95619524,0.639743373,0.9740564,1.429578784,0.95320606,0.30592125,0.465544872,0.842848558,0.826121795,0.825721154,0.931058812,0.172048997,,"the film , like jimmy's routines , [[takes]] use a few good laughs .","the film , like jimmy's routines , [[could]] use a few good laughs .",1.0,0.0,2.6666666666666665,2.3333333333333335
bae,rtmr,61,1,0,0.921050021,0.966594982,0.9823661,0.991101,0.334301732,0.979043,1.018763819,0.97017634,0.244227686,0.461838942,0.844050481,0.804086538,0.803685897,0.801693445,0.233521768,,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski [[lacks]] images even more haunting than those in mr . spielberg's 1993 classic .,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski [[creates]] images even more haunting than those in mr . spielberg's 1993 classic .,2.0,0.0,2.6666666666666665,1.3333333333333333
bae,rtmr,2,1,0,0.51497322,0.785185185,0.82218045,0.5785752,2.13448552,0.50128716,6.594759388,0.46363968,1.035722316,0.460236378,0.828525641,0.76963141,0.766426282,0.490836754,0.166371011,,. . . one of the most [[hated]] monster [[characters]] in [[sweden]] . . .,. . . one of the most [[entertaining]] monster [[movies]] in [[ages]] . . .,3.0,0.0,3.6666666666666665,1.0
pso,rtmr,364,1,0,0.750623854,0.999314129,0.89801764,0.81780607,1.260875546,0.72153825,5.278010468,0.62776715,0.862824282,0.453325321,0.826522436,0.793669872,0.797275641,0.583348545,0.171348244,,the closest thing to the experience of [[blank]] travel,the closest thing to the experience of [[space]] travel,2.6666666666666665,1.0,2.0,1.3333333333333333
bae,rtmr,169,1,0,1.53E-231,0.25,0.5541046,0.56553566,2.274954767,0.42220652,7.478716492,0.4192419,1.077736623,0.458032853,0.815604968,0.670673077,0.679887821,0.419242054,0.120791456,,"a [[mild]] , [[withdrawn]] [[disposition]] .","a [[wry]] , [[affectionate]] [[delight]] .",3.0,0.0,3.0,1.0
alzantot,rtmr,104,1,0,0.741944663,0.905454545,0.9416289,0.91967547,0.883966303,0.9257679,2.565683247,0.89407945,0.460262162,0.463541667,0.841846955,0.857371795,0.846955128,0.852475709,0.133980539,,watching spirited away is like watching an eastern [[novelty]] explode .,watching spirited away is like watching an eastern [[imagination]] explode .,3.6666666666666665,0.0,2.0,3.0
pso,rtmr,132,0,1,0.906187443,0.964109782,0.9820288,0.96694154,0.558822689,0.98709166,0.70070564,0.9786423,0.206677283,0.461838942,0.845052083,0.849759615,0.847355769,0.898001361,0.194360962,,"while the new film is much more eye-catching than its blood-drenched stephen norrington-directed predecessor , the [[refreshing]] script by the returning david s . goyer is much sillier .","while the new film is much more eye-catching than its blood-drenched stephen norrington-directed predecessor , the [[new]] script by the returning david s . goyer is much sillier .",3.3333333333333335,0.0,3.0,4.666666666666667
bae,rtmr,227,0,1,7.38E-78,0.75,0.7691446,0.8576462,1.289147314,0.8537811,3.42659377,0.6669505,0.816148869,0.461638622,0.837139423,0.80088141,0.807291667,0.627504694,0.189640058,,more trifle than [[others]] .,more trifle than [[triumph]] .,3.6666666666666665,1.0,1.3333333333333333,1.6666666666666667
pso,rtmr,166,0,1,0.830538917,0.888020833,0.870906,0.860243,1.24702176,0.8721836,2.775864225,0.8554702,0.537642741,0.46103766,0.839342949,0.768028846,0.755208333,0.736190593,0.118049354,,[[off]] in comparison to other recent war movies or any other john woo flick for that [[fact]] .,[[disappointing]] in comparison to other recent war movies or any other john woo flick for that [[matter]] .,1.6666666666666667,0.0,3.3333333333333335,3.0
bae,rtmr,220,0,1,0.898539608,0.961292308,0.9776689,0.9653925,0.760261231,0.97258866,1.235571442,0.96545917,0.262833683,0.460036058,0.844851763,0.904647436,0.909054487,0.827995998,0.307176431,,"it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a [[sad]] , preachy one at that .","it doesn't take a rocket scientist to figure out that this is a mormon family movie , and a [[sappy]] , preachy one at that .",4.666666666666667,0.0,4.333333333333333,3.6666666666666665
alzantot,rtmr,278,1,0,0.893153982,0.908636364,0.9013679,0.932201,0.821697984,0.96042013,1.600191353,0.9330045,0.366047836,0.451422276,0.839242788,0.818910256,0.831730769,0.899551916,0.20413918,,[[conscientiously]] uncovers a trail of outrageous force and craven concealment .,[[meticulously]] uncovers a trail of outrageous force and craven concealment .,3.3333333333333335,1.0,2.6666666666666665,2.6666666666666665
bae,rtmr,375,0,1,0.688836505,0.936388889,0.92719966,0.9662053,0.610077828,0.95448333,1.706972773,0.93944967,0.347995219,0.465044071,0.844150641,0.849358974,0.846153846,0.88092258,0.143004619,,[hell is] [[looks]] down at your watch and realizing serving sara isn't [[only]] halfway through .,[hell is] [[looking]] down at your watch and realizing serving sara isn't [[even]] halfway through .,1.6666666666666667,0.0,1.3333333333333333,3.6666666666666665
pso,rtmr,286,1,0,0.596949179,0.864795918,0.9196137,0.81409895,1.333510897,0.7274443,5.010970994,0.7135826,0.756858629,0.462740385,0.834735577,0.757612179,0.767227564,0.721401227,0.236482172,,it's a very [[costly]] film . . .,it's a very [[valuable]] film . . .,4.0,0.0,3.6666666666666665,1.6666666666666667
bae,rtmr,306,1,0,0.820720263,0.961292308,0.96562064,0.9676384,0.663876343,0.97768116,1.098918353,0.9589685,0.286466677,0.463741987,0.844350962,0.825721154,0.814903846,0.908830148,0.213320494,,"the [[movie]] may not hit as hard as some of the better drug-related pictures , but it [[only]] manages to get a few punches in .","the [[film]] may not hit as hard as some of the better drug-related pictures , but it [[still]] manages to get a few punches in .",2.6666666666666665,0.0,3.6666666666666665,2.3333333333333335
bae,rtmr,258,0,1,0.839432708,0.943675509,0.9743277,0.9510759,0.755236237,0.94410175,1.628440969,0.8954971,0.457171677,0.460336538,0.84364984,0.866987179,0.870592949,0.733095589,0.209454344,,"soulless and -- even more damning -- virtually [[irresistible]] , xxx achieves near virtuosity in its crapulence .","soulless and -- even more damning -- virtually [[joyless]] , xxx achieves near virtuosity in its crapulence .",3.3333333333333335,0.0,3.3333333333333335,2.3333333333333335
bae,rtmr,131,0,1,0.78254229,0.920940171,0.9685072,0.94340855,0.836533815,0.96413064,1.674333621,0.7839888,0.65728435,0.462940705,0.840645032,0.820512821,0.808092949,0.61369489,0.321457584,,"one of the most [[intricate]] , unimaginative romantic comedies i've ever seen .","one of the most [[plain]] , unimaginative romantic comedies i've ever seen .",4.333333333333333,0.0,3.6666666666666665,2.3333333333333335
pso,rtmr,222,0,1,5.18E-78,0.681818182,0.75877005,0.7789996,1.518274056,0.6555882,5.060907239,0.7048226,0.768345579,0.462640224,0.838641827,0.747596154,0.756810897,0.683783364,0.123038851,,the [[tease]] is just too [[free]] to be [[honest]] satisfying .,the [[satire]] is just too [[easy]] to be [[genuinely]] satisfying .,1.3333333333333333,0.0,3.0,2.0
pso,rtmr,299,1,0,0.884386592,0.956162415,0.9549211,0.9384864,0.907624894,0.94241136,1.722601766,0.96614516,0.26021085,0.453425481,0.845552885,0.870592949,0.862980769,0.877061266,0.247184441,,"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in [[streaking]] deleted scenes .","i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in [[viewing]] deleted scenes .",2.3333333333333335,1.0,2.0,2.3333333333333335
bae,rtmr,107,1,0,0.73488892,0.905454545,0.96527374,0.85099095,1.117928113,0.8553075,2.797997462,0.7511744,0.705444105,0.457932692,0.845152244,0.798076923,0.802083333,0.732945085,0.179419589,,"twohy's a [[bad]] yarn-spinner , and ultimately the story compels .","twohy's a [[good]] yarn-spinner , and ultimately the story compels .",2.0,0.0,1.6666666666666667,2.0
