attack_method,dataset,number,ground_truth,software_output,BLEU,Meteor,BERTScore,InferSent,InferSent_dis,SBERT,SBERT_dis,SimCSE,SimCSE_dis,NC,NBC,TKNC,BKNC,SemEval,SynEval,,adv_text,ori_text,fluency,label,difficulty,consistency
pso,rtmr,289,1,0,0.849232664,0.946718648,0.95483893,0.9619227,0.662853682,0.9346981,1.78276549,0.8858775,0.477749922,0.457832532,0.844951923,0.814903846,0.814903846,0.755243033,0.216186625,,a comedy-drama of nearly epic proportions rooted in a [[artless]] performance by the title character undergoing midlife crisis .,a comedy-drama of nearly epic proportions rooted in a [[sincere]] performance by the title character undergoing midlife crisis .,3.3333333333333335,0.0,2.6666666666666665,1.3333333333333333
alzantot,rtmr,29,1,0,0.930489948,0.961292308,0.99025077,0.9707793,0.565321782,0.99611056,0.417178521,0.97882223,0.2058053,0.466546474,0.844851763,0.894230769,0.883413462,0.927396077,0.184289246,,"tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden [[casually]] .","tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden [[lightly]] .",4.0,1.0,2.6666666666666665,4.333333333333333
bae,rtmr,297,0,1,5.71E-78,0.637142857,0.8050446,0.7619222,1.480656682,0.7893993,4.019590375,0.7895961,0.648696975,0.458733974,0.84385016,0.811698718,0.811298077,0.758883768,0.196827422,,the [[perfect]] talking-animal [[experience]] is grisly .,the [[whole]] talking-animal [[thing]] is grisly .,3.0,1.0,2.0,2.3333333333333335
pso,rtmr,64,1,0,0.596949179,0.881944444,0.9145862,0.7666666,1.517087399,0.8250355,3.632107183,0.538972,0.960237434,0.461838942,0.844651442,0.782451923,0.788060897,0.488330108,0.167792474,,enriched by a [[terrible]] and unforced supporting cast .,enriched by a [[strong]] and unforced supporting cast .,2.3333333333333335,0.0,3.3333333333333335,1.3333333333333333
alzantot,rtmr,215,1,0,0.669542634,0.918979206,0.883331,0.8590737,1.243889408,0.8062101,2.924614347,0.8134091,0.610886116,0.453725962,0.845152244,0.820112179,0.815705128,0.795397896,0.215446768,,"if you're [[search]] for an intelligent movie in which you can release your pent up anger , [[rather]] is just the [[airfare]] you need .","if you're [[looking]] for an intelligent movie in which you can release your pent up anger , [[enough]] is just the [[ticket]] you need .",1.6666666666666667,1.0,2.3333333333333335,2.6666666666666665
bae,rtmr,209,0,1,0.857892809,0.949445983,0.93673664,0.8966276,1.00675556,0.8758705,2.723517203,0.8709095,0.508115106,0.462339744,0.844951923,0.836939103,0.828125,0.747544062,0.130209374,,"the characters . . . are [[strong]] , and their personalities undergo radical changes when it suits the script .","the characters . . . are [[paper-thin]] , and their personalities undergo radical changes when it suits the script .",4.0,1.0,4.333333333333333,1.6666666666666667
alzantot,rtmr,355,0,1,0.807055727,0.905454545,0.9345361,0.9220567,0.888253361,0.7523568,4.540307689,0.89339685,0.461742902,0.4609375,0.845052083,0.774038462,0.768429487,0.858756995,0.228783792,,a [[ghastly]] movie that some people will nevertheless find moving .,a [[terrible]] movie that some people will nevertheless find moving .,4.666666666666667,0.0,4.333333333333333,4.666666666666667
pso,rtmr,61,1,0,0.921050021,0.967598566,0.98546445,0.9895153,0.367067956,0.99661696,0.404256001,0.98364186,0.180876093,0.463541667,0.844551282,0.829727564,0.834535256,0.875225788,0.224828839,,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski creates images [[merely]] more haunting than those in mr . spielberg's 1993 classic .,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski creates images [[even]] more haunting than those in mr . spielberg's 1993 classic .,3.3333333333333335,1.0,3.0,3.0
pso,rtmr,203,1,0,0.872512939,0.954133168,0.9651249,0.9647966,0.581220819,0.9721221,1.19692079,0.938959,0.349402535,0.462940705,0.845552885,0.797676282,0.789262821,0.779740888,0.144978563,,". . . strips bible stores of the potential for sanctimoniousness , making them [[punny]] for both kids and church-wary adults .",". . . strips bible stores of the potential for sanctimoniousness , making them [[meaningful]] for both kids and church-wary adults .",3.3333333333333335,1.0,2.0,1.0
pso,rtmr,20,1,0,0.707106781,0.864795918,0.9348048,0.87997425,1.099032229,0.76740885,4.533920389,0.8832481,0.483222322,0.460336538,0.841546474,0.720753205,0.715945513,0.810743201,0.12772382,,by turns very dark and very [[ridiculous]] .,by turns very dark and very [[funny]] .,4.0,0.0,3.3333333333333335,2.3333333333333335
pso,rtmr,307,1,0,0.73153391,0.87372449,0.9009108,0.85636014,1.25166541,0.82512534,3.174472046,0.892052,0.464646179,0.459234776,0.844250801,0.8125,0.803285256,0.820630151,0.216903313,,". . . a [[auspiciously]] [[sentimentalizing]] story about four sisters who are [[copping]] , in one way or another , with life's endgame .",". . . a [[sweetly]] [[affecting]] story about four sisters who are [[coping]] , in one way or another , with life's endgame .",3.6666666666666665,1.0,2.0,3.3333333333333335
alzantot,rtmr,195,1,0,0.544517885,0.777744982,0.8441446,0.83663553,1.261313088,0.85737973,3.062175878,0.80775654,0.620070142,0.463141026,0.841546474,0.825320513,0.818108974,0.754652476,0.101305176,,this submarine drama [[profits]] the right to be favorably compared to [[dass]] [[starter]] .,this submarine drama [[earns]] the right to be favorably compared to [[das]] [[boot]] .,2.3333333333333335,1.0,3.0,2.0
pso,rtmr,380,1,0,0.927607703,0.959722222,0.9759983,0.9540532,0.770867276,0.88122183,2.418150507,0.8743829,0.501232872,0.465544872,0.844951923,0.769230769,0.769230769,0.745180964,0.264687701,,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is surprisingly [[ridiculous]] .,the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is surprisingly [[enjoyable]] .,2.0,0.0,3.0,1.6666666666666667
pso,rtmr,268,0,1,0.962195458,0.964261219,0.94147366,0.98171026,0.512432508,0.96276045,1.331914634,0.97775877,0.210908932,0.463541667,0.844350962,0.796474359,0.784855769,0.781550395,0.198666437,,"[[believable]] to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .","[[true]] to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .",3.6666666666666665,0.0,4.0,4.0
pso,rtmr,173,0,1,0.741944663,0.895061728,0.9181666,0.91789615,0.952476176,0.94453377,1.936424017,0.7482047,0.70964124,0.459535256,0.837640224,0.75400641,0.747996795,0.744304156,0.251488811,,entertainment more [[handy]] than hanna-barbera's half-hour cartoons ever were .,entertainment more [[disposable]] than hanna-barbera's half-hour cartoons ever were .,2.0,1.0,3.6666666666666665,2.0
pso,rtmr,22,0,1,0.78840444,0.999968,0.9691887,0.9658885,0.591629048,0.948114,1.696432449,0.8928912,0.462836441,0.461838942,0.843549679,0.835737179,0.831330128,0.837639201,0.158761202,,"too long , and larded with exposition , this somber cop drama [[finally]] feels as [[level]] as the scruffy sands of its titular community .","too long , and larded with exposition , this somber cop drama [[ultimately]] feels as [[flat]] as the scruffy sands of its titular community .",3.0,0.0,3.0,3.3333333333333335
pso,rtmr,246,0,1,0.840303472,0.93703125,0.933347,0.9318703,0.909890186,0.77168524,3.096019967,0.9112581,0.421288472,0.457732372,0.844851763,0.805689103,0.788461538,0.802510196,0.233751538,,"the movie's [[extinction]] is to substitute plot for personality . it doesn't [[blindly]] know or care about the characters , and uses them as markers for a series of preordained events .","the movie's [[downfall]] is to substitute plot for personality . it doesn't [[really]] know or care about the characters , and uses them as markers for a series of preordained events .",3.3333333333333335,0.0,4.0,3.6666666666666665
pso,rtmr,304,1,0,0.872512939,0.949445983,0.96074873,0.9649863,0.60209154,0.9866233,0.800421663,0.9906819,0.136514595,0.464042468,0.84375,0.844150641,0.846554487,0.967328703,0.223377418,,"you've already seen city by the sea under a variety of titles , but it's worth [[too]] another visit .","you've already seen city by the sea under a variety of titles , but it's worth [[yet]] another visit .",2.3333333333333335,1.0,3.6666666666666665,4.666666666666667
pso,rtmr,85,1,0,0.90251398,0.962743809,0.9679026,0.9755199,0.497449719,0.98439986,0.819411222,0.98257804,0.186665473,0.458032853,0.845452724,0.853766026,0.856169872,0.863304579,0.187846702,,"director roger kumble offers just enough sweet and traditional romantic comedy to counter the crudity . and there's the inimitable diaz , [[subsuming]] it all together .","director roger kumble offers just enough sweet and traditional romantic comedy to counter the crudity . and there's the inimitable diaz , [[holding]] it all together .",4.0,1.0,3.6666666666666665,2.6666666666666665
bae,rtmr,289,1,0,0.849232664,0.946718648,0.984884,0.9638868,0.64716396,0.98372036,0.921377536,0.95504254,0.299858202,0.454126603,0.844751603,0.882612179,0.872996795,0.893225259,0.251455952,,a comedy-drama of nearly epic proportions rooted in a [[serious]] performance by the title character undergoing midlife crisis .,a comedy-drama of nearly epic proportions rooted in a [[sincere]] performance by the title character undergoing midlife crisis .,4.333333333333333,1.0,4.0,4.333333333333333
bae,rtmr,17,1,0,4.38E-78,0.587742504,0.79424304,0.68361974,1.69529695,0.5841663,5.099014026,0.60318154,0.890863029,0.460737179,0.842147436,0.719150641,0.726362179,0.597445446,0.152337085,,[[grant]] and morton [[contrast]] this character [[void]] with [[raw]] force and buoyant [[intelligence]] .,[[ramsay]] and morton [[fill]] this character [[study]] with [[poetic]] force and buoyant [[feeling]] .,3.0,0.0,3.0,2.0
pso,rtmr,207,0,1,0.726540782,0.897916667,0.91457415,0.8741324,1.180679465,0.85316646,2.825878584,0.8486347,0.55020966,0.461838942,0.842948718,0.809294872,0.808894231,0.770581725,0.203019798,,"deuces wild treads [[powerfully]] into romeo and juliet/west side story territory , where it plainly has no [[cartel]] going .","deuces wild treads [[heavily]] into romeo and juliet/west side story territory , where it plainly has no [[business]] going .",3.3333333333333335,0.0,2.6666666666666665,1.3333333333333333
pso,rtmr,288,1,0,0.829318126,0.934966054,0.95923036,0.89753973,0.977243261,0.9456022,1.41382811,0.93488014,0.360887456,0.448016827,0.844250801,0.852564103,0.853766026,0.803376693,0.184748359,,"the best didacticism is one carried by a [[sappy]] sense of humanism , and bertrand tavernier's oft-brilliant safe conduct ( "" laissez-passer "" ) wears its [[halfway]] on its sleeve .","the best didacticism is one carried by a [[strong]] sense of humanism , and bertrand tavernier's oft-brilliant safe conduct ( "" laissez-passer "" ) wears its [[heart]] on its sleeve .",1.6666666666666667,1.0,2.3333333333333335,2.3333333333333335
pso,rtmr,156,0,1,0.724157734,0.865088757,0.96177936,0.9465732,0.768948559,0.81768644,3.224403703,0.8576686,0.533538125,0.458233173,0.842147436,0.782051282,0.768830128,0.824177539,0.266172718,,[[more]] funny than it should be and [[more]] funny than it thinks it is .,[[less]] funny than it should be and [[less]] funny than it thinks it is .,4.333333333333333,1.0,4.333333333333333,1.3333333333333333
alzantot,rtmr,238,1,0,0.90251398,0.959722222,0.97181785,0.95048124,0.759234454,0.97611386,1.107368613,0.9267004,0.382882994,0.465244391,0.844250801,0.833333333,0.828125,0.8434551,0.233684323,,"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably [[dreadful]] film ; with a screenplay to die for .","if it's unnerving suspense you're after -- you'll find it with ring , an indisputably [[spooky]] film ; with a screenplay to die for .",3.0,1.0,3.3333333333333335,2.3333333333333335
bae,rtmr,212,1,0,0.717062715,0.894919404,0.9129685,0.89809215,1.155332191,0.92780864,1.712149321,0.9232611,0.391762646,0.457231571,0.845052083,0.799278846,0.795272436,0.816009012,0.169421363,,"proves a servicable world war ii drama that [[wil]] totally hide its contrivances , but it at [[worst]] calls attention to a problem hollywood too long has [[raised]] .","proves a servicable world war ii drama that [[can't]] totally hide its contrivances , but it at [[least]] calls attention to a problem hollywood too long has [[ignored]] .",2.6666666666666665,0.0,2.3333333333333335,2.0
bae,rtmr,239,0,1,0.855526186,0.926880811,0.94168043,0.8488011,1.344134454,0.8735548,2.945607657,0.7164505,0.753059815,0.456430288,0.842548077,0.768028846,0.770833333,0.64215669,0.149993973,,does what should seem impossible : it makes serial killer jeffrey dahmer [[proud]] .,does what should seem impossible : it makes serial killer jeffrey dahmer [[boring]] .,3.0,0.0,4.0,1.6666666666666667
alzantot,rtmr,236,1,0,1.05E-154,0.638888889,0.8493159,0.7453817,1.800216536,0.7110609,4.861203949,0.7076872,0.764608144,0.459835737,0.842047276,0.735977564,0.736778846,0.690840334,0.310692037,,a [[veritable]] mind-bender .,a [[genuine]] mind-bender .,4.0,1.0,2.0,4.0
bae,rtmr,45,1,0,0.585905937,0.822083333,0.7865783,0.82237476,1.3001868,0.76146585,4.374377943,0.75423425,0.701093127,0.45693109,0.840745192,0.805689103,0.812099359,0.719598716,0.168870442,,a metaphor for a modern-day urban china [[video]] for its [[protagonist]] .,a metaphor for a modern-day urban china [[searching]] for its [[identity]] .,2.0,1.0,2.3333333333333335,1.6666666666666667
pso,rtmr,122,1,0,0.866108747,0.948465097,0.94999367,0.95569515,0.800248537,0.9489924,1.398185105,0.8916032,0.465611305,0.462239583,0.843149038,0.828926282,0.82411859,0.768087402,0.143467866,,one of the [[fullest]] of a growing strain of daring films . . . that argue that any sexual relationship that doesn't hurt anyone and works for its participants is a relationship that is [[costly]] of our respect .,one of the [[best]] of a growing strain of daring films . . . that argue that any sexual relationship that doesn't hurt anyone and works for its participants is a relationship that is [[worthy]] of our respect .,2.6666666666666665,1.0,2.0,2.6666666666666665
bae,rtmr,48,0,1,0.594603558,0.864795918,0.89503264,0.72969794,1.661119995,0.6955907,5.453064625,0.29942608,1.183700876,0.454727564,0.837239583,0.740384615,0.737980769,0.285363626,0.103362557,,. . . a rather [[passionate]] affair .,. . . a rather [[bland]] affair .,5.0,1.0,4.333333333333333,1.6666666666666667
pso,rtmr,148,0,1,0.849232664,0.946718648,0.9166299,0.96108955,0.632371541,0.8910837,2.633600934,0.92700225,0.382093711,0.458233173,0.843950321,0.76963141,0.768028846,0.790705207,0.228968537,,"unfortunately , the experience of actually watching the movie is less [[nonplussed]] than the circumstances of its making .","unfortunately , the experience of actually watching the movie is less [[compelling]] than the circumstances of its making .",2.0,0.0,3.0,1.3333333333333333
bae,rtmr,199,0,1,0.80032032,0.931972789,0.97460985,0.90950966,0.949277336,0.9209714,2.658556086,0.9243415,0.388994908,0.465945513,0.844451122,0.850160256,0.836137821,0.802068549,0.230004231,,"rollerball is as [[great]] as you think , and worse than you can imagine .","rollerball is as [[bad]] as you think , and worse than you can imagine .",4.666666666666667,1.0,3.6666666666666665,2.0
pso,rtmr,372,0,1,0.777811122,0.888020833,0.9087719,0.87086153,1.180608715,0.8535443,2.908687202,0.81264114,0.612141887,0.463040865,0.843149038,0.780849359,0.77724359,0.772562587,0.191171628,,"comes off as a long , [[harrowing]] [[vocal]] , the bellyaching of a paranoid and unlikable man .","comes off as a long , [[laborious]] [[whine]] , the bellyaching of a paranoid and unlikable man .",4.333333333333333,0.0,3.6666666666666665,3.3333333333333335
pso,rtmr,9,1,0,0.807055727,0.905454545,0.93141,0.861873,1.131076399,0.975719,1.301600811,0.94927335,0.318517537,0.461137821,0.845252404,0.752403846,0.755208333,0.886564797,0.228182241,,a [[plucky]] drama of an alienated executive who re-invents himself .,a [[forceful]] drama of an alienated executive who re-invents himself .,3.3333333333333335,1.0,4.333333333333333,3.6666666666666665
alzantot,rtmr,350,1,0,0.839432708,0.931972789,0.9606031,0.98585117,0.382114789,0.95518374,1.563119326,0.9865382,0.16408484,0.457431891,0.845653045,0.824519231,0.821714744,0.912843609,0.235461742,,one of [jaglom's] better efforts -- a [[sardonic]] and sometime bitter movie about love .,one of [jaglom's] better efforts -- a [[wry]] and sometime bitter movie about love .,4.333333333333333,1.0,4.0,4.0
bae,rtmr,148,0,1,0.849232664,0.946718648,0.9713149,0.92856854,0.85777574,0.9236827,2.218860881,0.9038808,0.438450206,0.461438301,0.845653045,0.849358974,0.853365385,0.873349917,0.176714464,,"unfortunately , the experience of actually watching the movie is [[differently]] compelling than the circumstances of its making .","unfortunately , the experience of actually watching the movie is [[less]] compelling than the circumstances of its making .",3.3333333333333335,0.0,3.6666666666666665,3.0
bae,rtmr,270,0,1,0.537284966,0.806666667,0.8225539,0.8425712,1.349809627,0.6524269,6.317011309,0.6191214,0.872787076,0.465645032,0.835637019,0.815304487,0.80849359,0.594896144,0.227750586,,"an ugly , revolting [[truth]] .","an ugly , revolting [[movie]] .",4.333333333333333,1.0,4.333333333333333,1.6666666666666667
pso,rtmr,334,1,0,0.937001145,0.974287947,0.98307586,0.9949677,0.277172932,0.9591786,1.298647581,0.9742085,0.22711901,0.461438301,0.845452724,0.833733974,0.837740385,0.828682142,0.282638122,,"[the film] tackles the topic of relationships in such a straightforward , emotionally [[artless]] manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .","[the film] tackles the topic of relationships in such a straightforward , emotionally [[honest]] manner that by the end , it's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .",4.666666666666667,1.0,2.6666666666666665,4.333333333333333
bae,rtmr,247,1,0,0.925751807,0.970480203,0.98392004,0.99568987,0.277315714,0.9916715,0.64349275,0.9882171,0.153511972,0.454126603,0.841646635,0.845352564,0.840544872,0.925609028,0.20742142,,gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy [[doesn]] it seem fresh again .,gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy [[makes]] it seem fresh again .,1.3333333333333333,0.0,3.0,2.3333333333333335
bae,rtmr,333,1,0,0.955442792,0.956476824,0.97692,0.97100717,0.573171348,0.97408116,0.881731943,0.9762446,0.21796969,0.462339744,0.838942308,0.808894231,0.806891026,0.923576415,0.213399252,,"[[noting]] its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers .","[[examines]] its explosive subject matter as nonjudgmentally as wiseman's previous studies of inner-city high schools , hospitals , courts and welfare centers .",3.0,1.0,2.0,4.0
alzantot,rtmr,374,0,1,0.497356736,0.758846154,0.8350248,0.7959493,1.448806166,0.8038053,3.469423827,0.8210637,0.59822465,0.465544872,0.844651442,0.785657051,0.798878205,0.765679961,0.346623931,,an [[unlucky]] title for a film that has [[something]] [[likable]] about it .,an [[unfortunate]] title for a film that has [[nothing]] [[endearing]] about it .,3.6666666666666665,1.0,3.0,2.6666666666666665
pso,rtmr,236,1,0,1.05E-154,0.638888889,0.7953552,0.78036696,1.693942297,0.7600242,4.426812077,0.7323824,0.731597613,0.460336538,0.840144231,0.737580128,0.728365385,0.721697581,0.265443085,,a [[unequivocal]] mind-bender .,a [[genuine]] mind-bender .,4.333333333333333,1.0,2.6666666666666665,4.333333333333333
pso,rtmr,238,1,0,0.90251398,0.959722222,0.97592163,0.9650525,0.635861182,0.9444873,1.678277606,0.9596966,0.283913808,0.458834135,0.845052083,0.872596154,0.864583333,0.861835212,0.256202019,,"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky [[negative]] ; with a screenplay to die for .","if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky [[film]] ; with a screenplay to die for .",4.333333333333333,1.0,4.0,3.0
bae,rtmr,360,1,0,0.805877837,0.999974597,0.94318247,0.96368235,0.638106226,0.94382876,1.553273472,0.9357023,0.358602157,0.46864984,0.844250801,0.841346154,0.836538462,0.895009845,0.184241242,,can i [[take]] xxx is as deep as a petri dish and as well-characterized as a telephone book but [[even]] say it was a guilty pleasure ?,can i [[admit]] xxx is as deep as a petri dish and as well-characterized as a telephone book but [[still]] say it was a guilty pleasure ?,4.0,1.0,4.0,4.333333333333333
bae,rtmr,184,0,1,0.73488892,0.913911846,0.913403,0.749603,1.364117687,0.54633456,5.871442969,0.63818276,0.850667115,0.462339744,0.838541667,0.836137821,0.811298077,0.509487575,0.171305988,,this one aims for the [[heart]] and scores a direct hit .,this one aims for the [[toilet]] and scores a direct hit .,5.0,1.0,4.666666666666667,1.3333333333333333
pso,rtmr,15,1,0,0.774922472,0.959722222,0.93950886,0.9248064,0.90702285,0.9251691,2.030805668,0.9230432,0.392318514,0.457231571,0.845052083,0.828926282,0.829326923,0.808337158,0.212464576,,"from both a great and a terrible [[narration]] , mr . nelson has made a film that is an undeniably [[costly]] and devastating experience .","from both a great and a terrible [[story]] , mr . nelson has made a film that is an undeniably [[worthy]] and devastating experience .",3.3333333333333335,0.0,3.0,2.3333333333333335
pso,rtmr,204,1,0,3.92E-78,0.585286458,0.6662542,0.4815625,2.23462449,0.20081076,7.515289031,0.18310745,1.278196045,0.456229968,0.832932692,0.669070513,0.666266026,0.209490374,0.173281895,,a [[mistaken]] and [[fraternal]] [[canvass]] about [[malfunctioning]] and [[admiring]] . . .,a [[captivating]] and [[intimate]] [[study]] about [[dying]] and [[loving]] . . .,1.3333333333333333,0.0,2.3333333333333335,1.3333333333333333
pso,rtmr,331,0,1,9.11E-155,0.495555556,0.59723574,0.6426869,1.855102634,0.34555995,7.445062332,0.46985614,1.029702689,0.462640224,0.841646635,0.662660256,0.659855769,0.469855964,0.162685413,,[[encounters]] from a [[determined]] [[dearth]] of creative [[magic]] .,[[suffers]] from a [[decided]] [[lack]] of creative [[storytelling]] .,1.3333333333333333,1.0,3.3333333333333335,2.6666666666666665
pso,rtmr,86,1,0,0.915710375,0.967598566,0.97508246,0.95081055,0.806926727,0.9302262,1.68638092,0.966051,0.260572364,0.460136218,0.843549679,0.810096154,0.802483974,0.844984734,0.250166151,,"the story itself it mostly [[doomed]] through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it's as if it all happened only yesterday .","the story itself it mostly [[told]] through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it's as if it all happened only yesterday .",3.3333333333333335,1.0,1.6666666666666667,3.3333333333333335
alzantot,rtmr,109,1,0,0.614788153,0.807507396,0.8981449,0.8982247,1.018631136,0.8580907,2.94217442,0.8806172,0.488636714,0.458633814,0.842648237,0.796474359,0.792467949,0.858149618,0.218025987,,"ludicrous , but director carl franklin [[added]] [[rather]] flourishes and freak-outs to make it [[distracting]] .","ludicrous , but director carl franklin [[adds]] [[enough]] flourishes and freak-outs to make it [[entertaining]] .",1.3333333333333333,0.0,2.6666666666666665,2.6666666666666665
